S.No,District,State,Population,Growth,Sex-Ratio,Literacy
49,Muzaffarnagar,Uttar Pradesh,4143512,0.1694,889,69.12
50,Malappuram,Kerala,4112920,0.1345,1098,93.57
51,Hardoi,Uttar Pradesh,4092845,0.2044,868,64.57
52,Anantapur,Andhra Pradesh,4081148,0.121,977,63.57
53,Raipur,Chhattisgarh,4063872,0.347,984,75.56
54,Kurnool,Andhra Pradesh,4053463,0.1485,988,59.97
55,Mahbubnagar,Andhra Pradesh,4053028,0.1534,977,55.04
56,Kheri,Uttar Pradesh,4021243,0.2538,894,60.56
57,Kancheepuram,Tamil Nadu,3998252,0.3895,986,84.49
58,Maldah,West Bengal,3988845,0.2122,944,61.73
59,Saran,Bihar,3951862,0.2164,954,65.96
60,Hyderabad,Andhra Pradesh,3943323,0.0297,954,83.25
61,Darbhanga,Bihar,3937385,0.1947,911,56.56
62,West Godavari,Andhra Pradesh,3936966,0.0351,1004,74.63
63,Vellore,Tamil Nadu,3936331,0.132,1007,79.17
64,Pashchim Champaran,Bihar,3935042,0.2929,909,55.7
65,Kolhapur,Maharashtra,3876001,0.1001,957,81.51
66,Jalpaiguri,West Bengal,3872846,0.1387,953,73.25
67,Rajkot,Gujarat,3804558,0.2002,927,80.96
68,Sultanpur,Uttar Pradesh,3797117,0.1811,983,69.27
69,Karimnagar,Andhra Pradesh,3776269,0.0815,1008,64.15
70,Thiruvallur,Tamil Nadu,3728104,0.3533,987,84.03
71,Aurangabad,Maharashtra,3701282,0.2776,923,79.02
72,Jodhpur,Rajasthan,3687165,0.2774,916,65.94
73,Bijnor,Uttar Pradesh,3682713,0.176,917,68.48
74,Budaun,Uttar Pradesh,3681896,0.1995,871,51.29
75,Varanasi,Uttar Pradesh,3676841,0.1715,913,75.6
76,Alwar,Rajasthan,3674179,0.2278,895,70.72
77,Aligarh,Uttar Pradesh,3673889,0.2278,882,67.52
78,North West Delhi,Delhi,3656539,0.2781,865,84.45
79,Ghazipur,Uttar Pradesh,3620268,0.1918,952,71.78
80,Bankura,West Bengal,3596674,0.1265,957,70.26
81,Kushinagar,Uttar Pradesh,3564544,0.232,961,65.25
82,Ganjam,Orissa,3529031,0.1166,983,71.09
83,Warangal,Andhra Pradesh,3512576,0.0821,997,65.11
84,Birbhum,West Bengal,3502404,0.1615,956,70.68
